loadcase,node_id,label,mass,x,y,z,fx,fy,fz
LC500390,90000006,Bottom Electronics and Antenna,3.946603032,135.677227,0.108746362,96.40403311,-0.017015001491670696,-0.0,11.839809096
LC500390,90000007,HF Antenna,0.16,152.6426,0.5084,95.72,-0.00068980848,-0.0,0.48
LC500390,90000008,AFT midbody fittings,0.705346997,163.1651033,3.681086446,97.71591909,-0.003040964624207091,-0.0,2.116040991
LC500390,90000009,FWD midbody antennas and components (top skin),2.077807158,136.0348076,-0.029214728,103.8796743,-0.008958056233706874,-0.0,6.233421474
LC500390,90000010,AFT midbody components (top skin),0.46,155.0525861,-1.219635626,104.0709847,-0.00198319938,-0.0,1.3800000000000001
LC500390,90000011,AFT avionics,7.417164744,170.2919744,1.042492177,100.9856475,-0.03197764461230143,-0.0,22.251494232
LC500390,90000012,Engine,21.7,180.167568,0.050604837,100.3439833,-0.09355527509999999,-0.0,65.1
LC500390,90000013,Fuel,30.0,152.9348,-0.0016,99.8344,-0.12933909,-0.0,90.0
LC500390,90000014,"AFT hardware (actuators, etc.)",5.591094522,187.2061025,0.026525865,100.375461,-0.024104902585982163,-0.0,16.773283566
LC506271,90000001,Nose boom,0.13,100.3807505,8.62365e-05,99.75967368,-0.00046080398,-0.0,0.38441674349000005
LC506271,90000002,FWD avionics,27.5163046,117.1525436,0.038859881,99.68577371,-0.0975355590351716,-0.0,81.36714005546852
LC506271,90000003,FWD BTM antenna,0.03,125.0804,2.2734,95.0277,-0.00010633937999999999,-0.0,0.08871155619
LC506271,90000004,FWD bulkhead avionics,3.596369815,126.7948283,-0.354759157,99.01272995,-0.01274785787926049,-0.0,10.634652097446414
